geo_level,geo_code,religion,area,sex,total,geo_version
state,9,Other religions and persuasions,Rural,Male,4906,2011
state,9,Religion not stated,Rural,Male,202951,2011
state,9,Hindu,Urban,Male,15609259,2011
state,9,Muslim,Urban,Male,7459809,2011
state,9,Christian,Urban,Male,86987,2011
state,9,Sikh,Urban,Male,113259,2011
state,9,Buddhist,Urban,Male,16151,2011
state,9,Jain,Urban,Male,95142,2011
state,9,Other religions and persuasions,Urban,Male,2164,2011
state,9,Religion not stated,Urban,Male,104744,2011
state,10,Hindu,Rural,Male,40066887,2011
state,10,Muslim,Rural,Male,7817335,2011
state,10,Christian,Rural,Male,50483,2011
state,10,Sikh,Rural,Male,6255,2011
state,10,Buddhist,Rural,Male,12398,2011
state,10,Jain,Rural,Male,3950,2011
state,10,Other religions and persuasions,Rural,Male,6291,2011
state,10,Religion not stated,Rural,Male,110251,2011
state,10,Hindu,Urban,Male,4927618,2011
state,10,Muslim,Urban,Male,1226751,2011
state,10,Christian,Urban,Male,15632,2011
state,10,Sikh,Urban,Male,6202,2011
state,10,Buddhist,Urban,Male,1092,2011
state,10,Jain,Urban,Male,5793,2011
state,10,Other religions and persuasions,Urban,Male,542,2011
state,10,Religion not stated,Urban,Male,20677,2011
state,11,Hindu,Rural,Male,139660,2011
state,11,Muslim,Rural,Male,2683,2011
state,11,Christian,Rural,Male,23103,2011
state,11,Sikh,Rural,Male,1477,2011
state,11,Buddhist,Rural,Male,66943,2011
state,11,Jain,Rural,Male,86,2011
state,11,Other religions and persuasions,Rural,Male,8070,2011
state,11,Religion not stated,Rural,Male,775,2011
state,11,Hindu,Urban,Male,50312,2011
state,11,Muslim,Urban,Male,3853,2011
state,11,Christian,Urban,Male,7187,2011
state,11,Sikh,Urban,Male,115,2011
state,11,Buddhist,Urban,Male,18359,2011
state,11,Jain,Urban,Male,95,2011
state,11,Other religions and persuasions,Urban,Male,253,2011
state,11,Religion not stated,Urban,Male,99,2011
state,12,Hindu,Rural,Male,142358,2011
state,12,Muslim,Rural,Male,7215,2011
state,12,Christian,Rural,Male,172208,2011
state,12,Sikh,Rural,Male,1318,2011
state,12,Buddhist,Rural,Male,71613,2011
state,12,Jain,Rural,Male,268,2011
state,12,Other religions and persuasions,Rural,Male,148506,2011
state,12,Religion not stated,Rural,Male,2525,2011
state,12,Hindu,Urban,Male,82814,2011
state,12,Muslim,Urban,Male,8338,2011
state,12,Christian,Urban,Male,33588,2011
state,12,Sikh,Urban,Male,1482,2011
state,12,Buddhist,Urban,Male,9375,2011
state,12,Jain,Urban,Male,103,2011
state,12,Other religions and persuasions,Urban,Male,31538,2011
state,12,Religion not stated,Urban,Male,663,2011
state,13,Hindu,Rural,Male,38453,2011
state,13,Muslim,Rural,Male,12723,2011
state,13,Christian,Rural,Male,668171,2011
state,13,Sikh,Rural,Male,999,2011
state,13,Buddhist,Rural,Male,2385,2011
state,13,Jain,Rural,Male,230,2011
state,13,Other religions and persuasions,Rural,Male,1514,2011
state,13,Religion not stated,Rural,Male,997,2011
state,13,Hindu,Urban,Male,66398,2011
state,13,Muslim,Urban,Male,15804,2011
state,13,Christian,Urban,Male,213756,2011
state,13,Sikh,Urban,Male,532,2011
state,13,Buddhist,Urban,Male,1128,2011
state,13,Jain,Urban,Male,1143,2011
state,13,Other religions and persuasions,Urban,Male,106,2011
state,13,Religion not stated,Urban,Male,310,2011
state,14,Hindu,Rural,Male,331011,2011
state,14,Muslim,Rural,Male,78777,2011
state,14,Christian,Rural,Male,540712,2011
state,14,Sikh,Rural,Male,513,2011
state,14,Buddhist,Rural,Male,2407,2011
state,14,Jain,Rural,Male,197,2011
state,14,Other religions and persuasions,Rural,Male,69540,2011
state,14,Religion not stated,Rural,Male,3727,2011
state,14,Hindu,Urban,Male,265209,2011
state,14,Muslim,Urban,Male,41627,2011
state,14,Christian,Urban,Male,54766,2011
state,14,Sikh,Urban,Male,451,2011
state,14,Buddhist,Urban,Male,1247,2011
state,14,Jain,Urban,Male,665,2011
state,14,Other religions and persuasions,Urban,Male,46175,2011
state,14,Religion not stated,Urban,Male,1562,2011
state,15,Hindu,Rural,Male,4799,2011
state,15,Muslim,Rural,Male,3615,2011
state,15,Christian,Rural,Male,213209,2011
state,15,Sikh,Rural,Male,62,2011
state,15,Buddhist,Rural,Male,46881,2011
state,15,Jain,Rural,Male,140,2011
state,15,Other religions and persuasions,Rural,Male,222,2011
state,15,Religion not stated,Rural,Male,207,2011
state,15,Hindu,Urban,Male,15214,2011
state,15,Muslim,Urban,Male,5935,2011
state,15,Christian,Urban,Male,263255,2011
state,15,Sikh,Urban,Male,154,2011
state,15,Buddhist,Urban,Male,1089,2011
state,15,Jain,Urban,Male,68,2011
state,15,Other religions and persuasions,Urban,Male,180,2011
state,15,Religion not stated,Urban,Male,309,2011
state,16,Hindu,Rural,Male,1110363,2011
state,16,Muslim,Rural,Male,137112,2011
state,16,Christian,Rural,Male,77511,2011
state,16,Sikh,Rural,Male,543,2011
state,16,Buddhist,Rural,Male,59126,2011
state,16,Jain,Rural,Male,209,2011
state,16,Other religions and persuasions,Rural,Male,630,2011
state,16,Religion not stated,Rural,Male,1679,2011
state,16,Hindu,Urban,Male,453367,2011
state,16,Muslim,Urban,Male,23818,2011
state,16,Christian,Urban,Male,3969,2011
state,16,Sikh,Urban,Male,239,2011
state,16,Buddhist,Urban,Male,4419,2011
state,16,Jain,Urban,Male,244,2011
state,16,Other religions and persuasions,Urban,Male,161,2011
state,16,Religion not stated,Urban,Male,986,2011
state,17,Hindu,Rural,Male,100081,2011
state,17,Muslim,Rural,Male,58804,2011
state,17,Christian,Rural,Male,911129,2011
state,17,Sikh,Rural,Male,376,2011
state,17,Buddhist,Rural,Male,3397,2011
state,17,Jain,Rural,Male,157,2011
state,17,Other religions and persuasions,Rural,Male,116026,2011
state,17,Religion not stated,Rural,Male,4290,2011
state,17,Hindu,Urban,Male,83541,2011
state,17,Muslim,Urban,Male,9023,2011
state,17,Christian,Urban,Male,189363,2011
state,17,Sikh,Urban,Male,1264,2011
state,17,Buddhist,Urban,Male,1747,2011
state,17,Jain,Urban,Male,185,2011
state,17,Other religions and persuasions,Urban,Male,11957,2011
state,17,Religion not stated,Urban,Male,492,2011
state,18,Hindu,Rural,Male,8006062,2011
state,18,Muslim,Rural,Male,5052341,2011
state,18,Christian,Rural,Male,555891,2011
state,18,Sikh,Rural,Male,5021,2011
state,18,Buddhist,Rural,Male,24332,2011
state,18,Jain,Rural,Male,1520,2011
state,18,Other religions and persuasions,Rural,Male,12897,2011
state,18,Religion not stated,Rural,Male,20925,2011
state,18,Hindu,Urban,Male,1790743,2011
state,18,Muslim,Urban,Male,411052,2011
state,18,Christian,Urban,Male,31305,2011
state,18,Sikh,Urban,Male,6794,2011
state,18,Buddhist,Urban,Male,3757,2011
state,18,Jain,Urban,Male,12023,2011
state,18,Other religions and persuasions,Urban,Male,802,2011
state,18,Religion not stated,Urban,Male,3978,2011
state,19,Hindu,Rural,Male,21209432,2011
state,19,Muslim,Rural,Male,9784832,2011
state,19,Christian,Rural,Male,243900,2011
state,19,Sikh,Rural,Male,5261,2011
state,19,Buddhist,Rural,Male,92502,2011
state,19,Jain,Rural,Male,5780,2011
state,19,Other religions and persuasions,Rural,Male,457713,2011
state,19,Religion not stated,Rural,Male,45525,2011
state,19,Hindu,Urban,Male,11837125,2011
state,19,Muslim,Urban,Male,2855260,2011
state,19,Christian,Urban,Male,82086,2011
state,19,Sikh,Urban,Male,28907,2011
state,19,Buddhist,Urban,Male,48886,2011
state,19,Jain,Urban,Male,24938,2011
state,19,Other religions and persuasions,Urban,Male,12152,2011
state,19,Religion not stated,Urban,Male,74728,2011
state,20,Hindu,Rural,Male,8445598,2011
state,20,Muslim,Rural,Male,1765830,2011
state,20,Christian,Rural,Male,592355,2011
state,20,Sikh,Rural,Male,2652,2011
state,20,Buddhist,Rural,Male,3783,2011
state,20,Jain,Rural,Male,1837,2011
state,20,Other religions and persuasions,Rural,Male,1936940,2011
state,20,Religion not stated,Rural,Male,27491,2011
state,20,Hindu,Urban,Male,3118353,2011
state,20,Muslim,Urban,Male,701389,2011
state,20,Christian,Urban,Male,107547,2011
state,20,Sikh,Urban,Male,35537,2011
state,20,Buddhist,Urban,Male,1434,2011
state,20,Jain,Urban,Male,5926,2011
state,20,Other religions and persuasions,Urban,Male,176759,2011
state,20,Religion not stated,Urban,Male,6884,2011
state,21,Hindu,Rural,Male,16587340,2011
state,21,Muslim,Rural,Male,252294,2011
state,21,Christian,Rural,Male,479725,2011
state,21,Sikh,Rural,Male,2671,2011
state,21,Buddhist,Rural,Male,6119,2011
state,21,Jain,Rural,Male,1620,2011
state,21,Other religions and persuasions,Rural,Male,227641,2011
state,21,Religion not stated,Rural,Male,28793,2011
state,21,Hindu,Urban,Male,3289674,2011
state,21,Muslim,Urban,Male,213698,2011
state,21,Christian,Urban,Male,91254,2011
state,21,Sikh,Urban,Male,8890,2011
state,21,Buddhist,Urban,Male,1097,2011
state,21,Jain,Urban,Male,3265,2011
state,21,Other religions and persuasions,Urban,Male,7966,2011
state,21,Religion not stated,Urban,Male,10089,2011
state,22,Hindu,Rural,Male,9279003,2011
state,22,Muslim,Rural,Male,79398,2011
state,22,Christian,Rural,Male,176500,2011
state,22,Sikh,Rural,Male,3088,2011
state,22,Buddhist,Rural,Male,12065,2011
state,22,Jain,Rural,Male,3209,2011
state,22,Other religions and persuasions,Rural,Male,235118,2011
state,22,Religion not stated,Rural,Male,9045,2011
state,22,Hindu,Urban,Male,2689242,2011
state,22,Muslim,Urban,Male,184436,2011
state,22,Christian,Urban,Male,65299,2011
state,22,Sikh,Urban,Male,33662,2011
state,22,Buddhist,Urban,Male,22882,2011
state,22,Jain,Urban,Male,28383,2011
state,22,Other religions and persuasions,Urban,Male,9044,2011
state,22,Religion not stated,Urban,Male,2521,2011
state,23,Hindu,Rural,Male,25757448,2011
state,23,Muslim,Rural,Male,866891,2011
state,23,Christian,Rural,Male,44309,2011
state,23,Sikh,Rural,Male,29484,2011
state,23,Buddhist,Rural,Male,67210,2011
state,23,Jain,Rural,Male,57431,2011
state,23,Other religions and persuasions,Rural,Male,292942,2011
state,23,Religion not stated,Rural,Male,33673,2011
state,23,Hindu,Urban,Male,8467849,2011
state,23,Muslim,Urban,Male,1587941,2011
state,23,Christian,Urban,Male,60988,2011
state,23,Sikh,Urban,Male,50857,2011
state,23,Buddhist,Urban,Male,42603,2011
state,23,Jain,Urban,Male,234506,2011
state,23,Other religions and persuasions,Urban,Male,3672,2011
state,23,Religion not stated,Urban,Male,14502,2011
state,24,Hindu,Rural,Male,16623861,2011
state,24,Muslim,Rural,Male,1044496,2011
state,24,Christian,Rural,Male,81319,2011
state,24,Sikh,Rural,Male,7088,2011
state,24,Buddhist,Rural,Male,3292,2011
state,24,Jain,Rural,Male,22357,2011
state,24,Other religions and persuasions,Rural,Male,2787,2011
state,24,Religion not stated,Rural,Male,13959,2011
state,24,Hindu,Urban,Male,11317316,2011
state,24,Muslim,Urban,Male,1962725,2011
state,24,Christian,Urban,Male,78440,2011
state,24,Sikh,Urban,Male,24981,2011
state,24,Buddhist,Urban,Male,12928,2011
state,24,Jain,Urban,Male,272554,2011
state,24,Other religions and persuasions,Urban,Male,5575,2011
state,24,Religion not stated,Urban,Male,17582,2011
state,25,Hindu,Rural,Male,30784,2011
state,25,Muslim,Rural,Male,1485,2011
state,25,Christian,Rural,Male,86,2011
state,25,Sikh,Rural,Male,2,2011
state,25,Buddhist,Rural,Male,1,2011
state,25,Jain,Rural,Male,3,2011
state,25,Other religions and persuasions,Rural,Male,6,2011
state,25,Religion not stated,Rural,Male,28,2011
state,25,Hindu,Urban,Male,106184,2011
state,25,Muslim,Urban,Male,9862,2011
state,25,Christian,Urban,Male,1339,2011
state,25,Sikh,Urban,Male,93,2011
state,25,Buddhist,Urban,Male,120,2011
state,25,Jain,Urban,Male,144,2011
state,25,Other religions and persuasions,Urban,Male,36,2011
state,25,Religion not stated,Urban,Male,128,2011
state,26,Hindu,Rural,Male,94496,2011
state,26,Muslim,Rural,Male,2085,2011
state,26,Christian,Rural,Male,1409,2011
state,26,Sikh,Rural,Male,32,2011
state,26,Buddhist,Rural,Male,54,2011
state,26,Jain,Rural,Male,35,2011
state,26,Other religions and persuasions,Rural,Male,46,2011
state,26,Religion not stated,Rural,Male,148,2011
state,26,Hindu,Urban,Male,87480,2011
state,26,Muslim,Urban,Male,5616,2011
state,26,Christian,Urban,Male,1146,2011
state,26,Sikh,Urban,Male,100,2011
state,26,Buddhist,Urban,Male,302,2011
state,26,Jain,Urban,Male,597,2011
state,26,Other religions and persuasions,Urban,Male,84,2011
state,26,Religion not stated,Urban,Male,130,2011
state,27,Hindu,Rural,Male,27674324,2011
state,27,Muslim,Rural,Male,1785117,2011
state,27,Christian,Rural,Male,58022,2011
state,27,Sikh,Rural,Male,13987,2011
state,27,Buddhist,Rural,Male,1737963,2011
state,27,Jain,Rural,Male,140476,2011
state,27,Other religions and persuasions,Rural,Male,47080,2011
state,27,Religion not stated,Rural,Male,82065,2011
state,27,Hindu,Urban,Male,18861538,2011
state,27,Muslim,Urban,Male,5004010,2011
state,27,Christian,Urban,Male,473894,2011
state,27,Sikh,Urban,Male,104071,2011
state,27,Buddhist,Urban,Male,1576943,2011
state,27,Jain,Urban,Male,572681,2011
state,27,Other religions and persuasions,Urban,Male,42743,2011
state,27,Religion not stated,Urban,Male,68142,2011
state,29,Hindu,Rural,Male,17122399,2011
state,29,Muslim,Rural,Male,1459151,2011
state,29,Christian,Rural,Male,153269,2011
state,29,Sikh,Rural,Male,3753,2011
state,29,Buddhist,Rural,Male,40316,2011
state,29,Jain,Rural,Male,113598,2011
state,29,Other religions and persuasions,Rural,Male,2556,2011
state,29,Religion not stated,Rural,Male,34312,2011
state,29,Hindu,Urban,Male,8895584,2011
state,29,Muslim,Urban,Male,2548720,2011
state,29,Christian,Urban,Male,404167,2011
state,29,Sikh,Urban,Male,12202,2011
state,29,Buddhist,Urban,Male,14699,2011
state,29,Jain,Urban,Male,111946,2011
state,29,Other religions and persuasions,Urban,Male,3148,2011
state,29,Religion not stated,Urban,Male,46837,2011
state,30,Hindu,Rural,Male,200644,2011
state,30,Muslim,Rural,Male,10893,2011
state,30,Christian,Rural,Male,62846,2011
state,30,Sikh,Rural,Male,220,2011
state,30,Buddhist,Rural,Male,152,2011
state,30,Jain,Rural,Male,57,2011
state,30,Other religions and persuasions,Rural,Male,40,2011
state,30,Religion not stated,Rural,Male,584,2011
state,30,Hindu,Urban,Male,298943,2011
state,30,Muslim,Urban,Male,52921,2011
state,30,Christian,Urban,Male,109118,2011
state,30,Sikh,Urban,Male,643,2011
state,30,Buddhist,Urban,Male,422,2011
state,30,Jain,Urban,Male,523,2011
state,30,Other religions and persuasions,Urban,Male,103,2011
state,30,Religion not stated,Urban,Male,1031,2011
state,31,Hindu,Rural,Male,308,2011
state,31,Muslim,Rural,Male,6893,2011
state,31,Christian,Rural,Male,27,2011
state,31,Sikh,Rural,Male,0,2011
state,31,Buddhist,Rural,Male,0,2011
state,31,Jain,Rural,Male,2,2011
state,31,Other religions and persuasions,Rural,Male,0,2011
state,31,Religion not stated,Rural,Male,13,2011
state,31,Hindu,Urban,Male,1295,2011
state,31,Muslim,Urban,Male,24273,2011
state,31,Christian,Urban,Male,259,2011
state,31,Sikh,Urban,Male,6,2011
state,31,Buddhist,Urban,Male,9,2011
state,31,Jain,Urban,Male,4,2011
state,31,Other religions and persuasions,Urban,Male,6,2011
state,31,Religion not stated,Urban,Male,28,2011
state,32,Hindu,Rural,Male,4538594,2011
state,32,Muslim,Rural,Male,2004022,2011
state,32,Christian,Rural,Male,1838436,2011
state,32,Sikh,Rural,Male,894,2011
state,32,Buddhist,Rural,Male,1612,2011
state,32,Jain,Rural,Male,1039,2011
state,32,Other religions and persuasions,Rural,Male,1919,2011
state,32,Religion not stated,Rural,Male,21538,2011
state,32,Hindu,Urban,Male,4264861,2011
state,32,Muslim,Urban,Male,2172233,2011
state,32,Christian,Urban,Male,1155345,2011
state,32,Sikh,Urban,Male,1279,2011
state,32,Buddhist,Urban,Male,830,2011
state,32,Jain,Urban,Male,1186,2011
state,32,Other religions and persuasions,Urban,Male,2195,2011
state,32,Religion not stated,Urban,Male,21429,2011
state,33,Hindu,Rural,Male,17358731,2011
state,33,Muslim,Rural,Male,486373,2011
state,33,Christian,Rural,Male,790114,2011
state,33,Sikh,Rural,Male,2256,2011
state,33,Buddhist,Rural,Male,1716,2011
state,33,Jain,Rural,Male,5044,2011
state,33,Other religions and persuasions,Rural,Male,1227,2011
state,33,Religion not stated,Rural,Male,33604,2011
state,33,Hindu,Urban,Male,14356315,2011
state,33,Muslim,Urban,Male,1612809,2011
state,33,Christian,Urban,Male,1381299,2011
state,33,Sikh,Urban,Male,5832,2011
state,33,Buddhist,Urban,Male,4260,2011
state,33,Jain,Urban,Male,40561,2011
state,33,Other religions and persuasions,Urban,Male,2554,2011
state,33,Religion not stated,Urban,Male,55280,2011
state,34,Hindu,Rural,Male,182944,2011
state,34,Muslim,Rural,Male,6362,2011
state,34,Christian,Rural,Male,5337,2011
state,34,Sikh,Rural,Male,50,2011
state,34,Buddhist,Rural,Male,44,2011
state,34,Jain,Rural,Male,18,2011
state,34,Other religions and persuasions,Rural,Male,22,2011
state,34,Religion not stated,Rural,Male,130,2011
state,34,Hindu,Urban,Male,353757,2011
state,34,Muslim,Urban,Male,30088,2011
state,34,Christian,Urban,Male,31820,2011
state,34,Sikh,Urban,Male,106,2011
state,34,Buddhist,Urban,Male,206,2011
state,34,Jain,Urban,Male,684,2011
state,34,Other religions and persuasions,Urban,Male,66,2011
state,34,Religion not stated,Urban,Male,877,2011
state,35,Hindu,Rural,Male,84639,2011
state,35,Muslim,Rural,Male,7979,2011
state,35,Christian,Rural,Male,32639,2011
state,35,Sikh,Rural,Male,355,2011
state,35,Buddhist,Rural,Male,149,2011
state,35,Jain,Rural,Male,8,2011
state,35,Other religions and persuasions,Rural,Male,250,2011
state,35,Religion not stated,Rural,Male,268,2011
state,35,Hindu,Urban,Male,57638,2011
state,35,Muslim,Urban,Male,9322,2011
state,35,Christian,Urban,Male,9108,2011
state,35,Sikh,Urban,Male,346,2011
state,35,Buddhist,Urban,Male,39,2011
state,35,Jain,Urban,Male,6,2011
state,35,Other religions and persuasions,Urban,Male,67,2011
state,35,Religion not stated,Urban,Male,58,2011
district,1,Hindu,Rural,Male,26796,2011
district,1,Muslim,Rural,Male,379261,2011
district,1,Christian,Rural,Male,932,2011
district,1,Sikh,Rural,Male,3777,2011
district,1,Buddhist,Rural,Male,33,2011
district,1,Jain,Rural,Male,23,2011
district,1,Other religions and persuasions,Rural,Male,4,2011
district,1,Religion not stated,Rural,Male,1212,2011
district,1,Hindu,Urban,Male,9261,2011
district,1,Muslim,Urban,Male,51260,2011
district,1,Christian,Urban,Male,283,2011
district,1,Sikh,Urban,Male,1044,2011
district,1,Buddhist,Urban,Male,18,2011
district,1,Jain,Urban,Male,5,2011
district,1,Other religions and persuasions,Urban,Male,5,2011
district,1,Religion not stated,Urban,Male,276,2011
district,2,Hindu,Rural,Male,2151,2011
district,2,Muslim,Rural,Male,337740,2011
district,2,Christian,Rural,Male,497,2011
district,2,Sikh,Rural,Male,2726,2011
district,2,Buddhist,Rural,Male,11,2011
district,2,Jain,Rural,Male,1,2011
district,2,Other religions and persuasions,Rural,Male,1,2011
district,2,Religion not stated,Rural,Male,258,2011
district,2,Hindu,Urban,Male,6968,2011
district,2,Muslim,Urban,Male,46541,2011
district,2,Christian,Urban,Male,468,2011
district,2,Sikh,Urban,Male,595,2011
district,2,Buddhist,Urban,Male,25,2011
district,2,Jain,Urban,Male,3,2011
district,2,Other religions and persuasions,Urban,Male,0,2011
district,2,Religion not stated,Urban,Male,56,2011
district,3,Hindu,Rural,Male,8066,2011
district,3,Muslim,Rural,Male,7578,2011
district,3,Christian,Rural,Male,206,2011
district,3,Sikh,Rural,Male,153,2011
district,3,Buddhist,Rural,Male,32003,2011
district,3,Jain,Rural,Male,34,2011
district,3,Other religions and persuasions,Rural,Male,0,2011
district,3,Religion not stated,Rural,Male,371,2011
district,3,Hindu,Urban,Male,13892,2011
district,3,Muslim,Urban,Male,2915,2011
district,3,Christian,Urban,Male,263,2011
district,3,Sikh,Urban,Male,865,2011
district,3,Buddhist,Urban,Male,12016,2011
district,3,Jain,Urban,Male,15,2011
district,3,Other religions and persuasions,Urban,Male,29,2011
district,3,Religion not stated,Urban,Male,565,2011
district,4,Hindu,Rural,Male,6982,2011
district,4,Muslim,Rural,Male,49116,2011
district,4,Christian,Rural,Male,478,2011
district,4,Sikh,Rural,Male,780,2011
district,4,Buddhist,Rural,Male,10144,2011
district,4,Jain,Rural,Male,15,2011
district,4,Other religions and persuasions,Rural,Male,2,2011
district,4,Religion not stated,Rural,Male,186,2011
