geo_level,geo_code,area,workerssex,workers,total,geo_version
state,24,Urban,Male,Main workers,7426356,2011
state,25,Rural,Male,Main workers,18131,2011
state,25,Urban,Male,Main workers,86483,2011
state,26,Rural,Male,Main workers,48239,2011
state,26,Urban,Male,Main workers,60886,2011
state,27,Rural,Male,Main workers,16188697,2011
state,27,Urban,Male,Main workers,13800617,2011
state,29,Rural,Male,Main workers,10003021,2011
state,29,Urban,Male,Main workers,6346816,2011
state,30,Rural,Male,Main workers,122042,2011
state,30,Urban,Male,Main workers,234925,2011
state,31,Rural,Male,Main workers,1878,2011
state,31,Urban,Male,Main workers,7259,2011
state,32,Rural,Male,Main workers,3743078,2011
state,32,Urban,Male,Main workers,3436750,2011
state,33,Rural,Male,Main workers,9552474,2011
state,33,Urban,Male,Main workers,9408720,2011
state,34,Rural,Male,Main workers,91068,2011
state,34,Urban,Male,Main workers,215341,2011
state,35,Rural,Male,Main workers,60411,2011
state,35,Urban,Male,Main workers,43208,2011
district,1,Rural,Male,Main workers,89519,2011
district,1,Urban,Male,Main workers,22194,2011
district,2,Rural,Male,Main workers,93558,2011
district,2,Urban,Male,Main workers,23307,2011
district,3,Rural,Male,Main workers,24929,2011
district,3,Urban,Male,Main workers,19813,2011
district,4,Rural,Male,Main workers,19809,2011
district,4,Urban,Male,Main workers,5365,2011
district,5,Rural,Male,Main workers,52941,2011
district,5,Urban,Male,Main workers,10206,2011
district,6,Rural,Male,Main workers,87376,2011
district,6,Urban,Male,Main workers,22738,2011
district,7,Rural,Male,Main workers,102170,2011
district,7,Urban,Male,Main workers,21234,2011
district,8,Rural,Male,Main workers,119420,2011
district,8,Urban,Male,Main workers,50076,2011
district,9,Rural,Male,Main workers,51308,2011
district,9,Urban,Male,Main workers,13596,2011
district,10,Rural,Male,Main workers,2737,2011
district,10,Urban,Male,Main workers,287063,2011
district,11,Rural,Male,Main workers,38380,2011
district,11,Urban,Male,Main workers,8399,2011
district,12,Rural,Male,Main workers,69977,2011
district,12,Urban,Male,Main workers,19193,2011
district,13,Rural,Male,Main workers,43777,2011
district,13,Urban,Male,Main workers,5168,2011
district,14,Rural,Male,Main workers,106923,2011
district,14,Urban,Male,Main workers,51303,2011
district,15,Rural,Male,Main workers,54760,2011
district,15,Urban,Male,Main workers,15442,2011
district,16,Rural,Male,Main workers,60106,2011
district,16,Urban,Male,Main workers,8243,2011
district,17,Rural,Male,Main workers,42776,2011
district,17,Urban,Male,Main workers,3731,2011
district,18,Rural,Male,Main workers,32312,2011
district,18,Urban,Male,Main workers,3798,2011
district,19,Rural,Male,Main workers,90442,2011
district,19,Urban,Male,Main workers,37383,2011
district,20,Rural,Male,Main workers,67032,2011
district,20,Urban,Male,Main workers,7787,2011
district,21,Rural,Male,Main workers,150228,2011
district,21,Urban,Male,Main workers,201746,2011
district,22,Rural,Male,Main workers,52677,2011
district,22,Urban,Male,Main workers,14846,2011
district,23,Rural,Male,Main workers,77858,2011
district,23,Urban,Male,Main workers,9453,2011
district,24,Rural,Male,Main workers,225643,2011
district,24,Urban,Male,Main workers,20068,2011
district,25,Rural,Male,Main workers,8732,2011
district,25,Urban,Male,Main workers,0,2011
district,26,Rural,Male,Main workers,107083,2011
district,26,Urban,Male,Main workers,11970,2011
district,27,Rural,Male,Main workers,170165,2011
district,27,Urban,Male,Main workers,15444,2011
district,28,Rural,Male,Main workers,68618,2011
district,28,Urban,Male,Main workers,6772,2011
district,29,Rural,Male,Main workers,94824,2011
district,29,Urban,Male,Main workers,11108,2011
district,30,Rural,Male,Main workers,66989,2011
district,30,Urban,Male,Main workers,6411,2011
district,31,Rural,Male,Main workers,122079,2011
district,31,Urban,Male,Main workers,35929,2011
district,32,Rural,Male,Main workers,120385,2011
district,32,Urban,Male,Main workers,14567,2011
district,33,Rural,Male,Main workers,155587,2011
district,33,Urban,Male,Main workers,59393,2011
district,34,Rural,Male,Main workers,29911,2011
district,34,Urban,Male,Main workers,0,2011
district,35,Rural,Male,Main workers,373416,2011
district,35,Urban,Male,Main workers,175260,2011
district,36,Rural,Male,Main workers,134906,2011
district,36,Urban,Male,Main workers,78122,2011
district,37,Rural,Male,Main workers,262667,2011
district,37,Urban,Male,Main workers,324054,2011
district,38,Rural,Male,Main workers,269556,2011
district,38,Urban,Male,Main workers,82725,2011
district,39,Rural,Male,Main workers,117962,2011
district,39,Urban,Male,Main workers,32317,2011
district,40,Rural,Male,Main workers,113476,2011
district,40,Urban,Male,Main workers,54634,2011
district,41,Rural,Male,Main workers,380021,2011
district,41,Urban,Male,Main workers,589933,2011
district,42,Rural,Male,Main workers,197668,2011
district,42,Urban,Male,Main workers,61958,2011
district,43,Rural,Male,Main workers,389222,2011
district,43,Urban,Male,Main workers,152272,2011
district,44,Rural,Male,Main workers,184204,2011
district,44,Urban,Male,Main workers,69003,2011
district,45,Rural,Male,Main workers,108599,2011
district,45,Urban,Male,Main workers,59625,2011
district,46,Rural,Male,Main workers,251357,2011
district,46,Urban,Male,Main workers,138700,2011
district,47,Rural,Male,Main workers,164494,2011
district,47,Urban,Male,Main workers,42514,2011
district,48,Rural,Male,Main workers,290160,2011
district,48,Urban,Male,Main workers,202306,2011
district,49,Rural,Male,Main workers,293731,2011
district,49,Urban,Male,Main workers,368637,2011
district,50,Rural,Male,Main workers,235849,2011
district,50,Urban,Male,Main workers,37102,2011
district,51,Rural,Male,Main workers,118590,2011
district,51,Urban,Male,Main workers,43268,2011
district,52,Rural,Male,Main workers,117117,2011
district,52,Urban,Male,Main workers,141252,2011
district,53,Rural,Male,Main workers,304093,2011
district,53,Urban,Male,Main workers,139539,2011
district,54,Rural,Male,Main workers,110751,2011
district,54,Urban,Male,Main workers,53571,2011
district,55,Rural,Male,Main workers,10356,2011
district,55,Urban,Male,Main workers,306834,2011
district,56,Rural,Male,Main workers,66015,2011
district,56,Urban,Male,Main workers,5583,2011
district,57,Rural,Male,Main workers,48981,2011
district,57,Urban,Male,Main workers,16585,2011
district,58,Rural,Male,Main workers,34567,2011
district,58,Urban,Male,Main workers,3114,2011
district,59,Rural,Male,Main workers,80715,2011
district,59,Urban,Male,Main workers,17904,2011
district,60,Rural,Male,Main workers,162764,2011
district,60,Urban,Male,Main workers,236931,2011
district,61,Rural,Male,Main workers,76895,2011
district,61,Urban,Male,Main workers,25150,2011
district,62,Rural,Male,Main workers,66919,2011
district,62,Urban,Male,Main workers,13466,2011
district,63,Rural,Male,Main workers,37093,2011
district,63,Urban,Male,Main workers,1741,2011
district,64,Rural,Male,Main workers,85414,2011
district,64,Urban,Male,Main workers,16807,2011
district,65,Rural,Male,Main workers,34254,2011
district,65,Urban,Male,Main workers,8998,2011
district,66,Rural,Male,Main workers,127397,2011
district,66,Urban,Male,Main workers,89984,2011
district,67,Rural,Male,Main workers,234671,2011
district,67,Urban,Male,Main workers,138390,2011
district,68,Rural,Male,Main workers,266838,2011
district,68,Urban,Male,Main workers,173584,2011
district,69,Rural,Male,Main workers,63002,2011
district,69,Urban,Male,Main workers,85693,2011
district,70,Rural,Male,Main workers,148590,2011
district,70,Urban,Male,Main workers,133476,2011
district,71,Rural,Male,Main workers,181742,2011
district,71,Urban,Male,Main workers,125302,2011
district,72,Rural,Male,Main workers,174590,2011
district,72,Urban,Male,Main workers,70029,2011
district,73,Rural,Male,Main workers,194531,2011
district,73,Urban,Male,Main workers,55374,2011
district,74,Rural,Male,Main workers,240379,2011
district,74,Urban,Male,Main workers,111351,2011
district,75,Rural,Male,Main workers,142608,2011
district,75,Urban,Male,Main workers,144132,2011
district,76,Rural,Male,Main workers,221975,2011
district,76,Urban,Male,Main workers,104555,2011
district,77,Rural,Male,Main workers,243389,2011
district,77,Urban,Male,Main workers,69771,2011
district,78,Rural,Male,Main workers,186999,2011
district,78,Urban,Male,Main workers,44190,2011
district,79,Rural,Male,Main workers,249805,2011
district,79,Urban,Male,Main workers,80875,2011
district,80,Rural,Male,Main workers,286943,2011
district,80,Urban,Male,Main workers,133567,2011
district,81,Rural,Male,Main workers,286568,2011
district,81,Urban,Male,Main workers,71369,2011
district,82,Rural,Male,Main workers,136454,2011
district,82,Urban,Male,Main workers,102541,2011
district,83,Rural,Male,Main workers,151052,2011
district,83,Urban,Male,Main workers,54830,2011
district,84,Rural,Male,Main workers,147515,2011
district,84,Urban,Male,Main workers,29172,2011
district,85,Rural,Male,Main workers,141404,2011
district,85,Urban,Male,Main workers,59166,2011
district,86,Rural,Male,Main workers,105706,2011
district,86,Urban,Male,Main workers,294680,2011
district,87,Rural,Male,Main workers,153188,2011
district,87,Urban,Male,Main workers,22482,2011
district,88,Rural,Male,Main workers,73283,2011
district,88,Urban,Male,Main workers,349220,2011
district,89,Rural,Male,Main workers,142865,2011
district,89,Urban,Male,Main workers,46237,2011
district,90,Rural,Male,Main workers,53086,2011
district,90,Urban,Male,Main workers,930306,2011
district,91,Rural,Male,Main workers,4462,2011
district,91,Urban,Male,Main workers,244085,2011
district,92,Rural,Male,Main workers,5378,2011
district,92,Urban,Male,Main workers,560650,2011
district,93,Rural,Male,Main workers,1043,2011
district,93,Urban,Male,Main workers,468550,2011
district,94,Rural,Male,Main workers,0,2011
district,94,Urban,Male,Main workers,44916,2011
district,95,Rural,Male,Main workers,0,2011
district,95,Urban,Male,Main workers,169963,2011
district,96,Rural,Male,Main workers,1502,2011
district,96,Urban,Male,Main workers,706760,2011
district,97,Rural,Male,Main workers,34747,2011
district,97,Urban,Male,Main workers,601727,2011
district,98,Rural,Male,Main workers,3350,2011
district,98,Urban,Male,Main workers,732185,2011
district,99,Rural,Male,Main workers,387503,2011
district,99,Urban,Male,Main workers,143124,2011
district,100,Rural,Male,Main workers,371946,2011
district,100,Urban,Male,Main workers,89898,2011
district,101,Rural,Male,Main workers,357383,2011
district,101,Urban,Male,Main workers,199663,2011
district,102,Rural,Male,Main workers,315110,2011
district,102,Urban,Male,Main workers,131089,2011
district,103,Rural,Male,Main workers,337436,2011
district,103,Urban,Male,Main workers,106675,2011
district,104,Rural,Male,Main workers,669363,2011
district,104,Urban,Male,Main workers,166577,2011
district,105,Rural,Male,Main workers,421932,2011
district,105,Urban,Male,Main workers,107945,2011
district,106,Rural,Male,Main workers,207441,2011
district,106,Urban,Male,Main workers,54238,2011
district,107,Rural,Male,Main workers,260398,2011
district,107,Urban,Male,Main workers,48691,2011
district,108,Rural,Male,Main workers,231261,2011
district,108,Urban,Male,Main workers,57377,2011
district,109,Rural,Male,Main workers,293484,2011
district,109,Urban,Male,Main workers,44450,2011
district,110,Rural,Male,Main workers,686668,2011
district,110,Urban,Male,Main workers,877697,2011
district,111,Rural,Male,Main workers,405765,2011
district,111,Urban,Male,Main workers,140413,2011
district,112,Rural,Male,Main workers,552197,2011
district,112,Urban,Male,Main workers,143882,2011
district,113,Rural,Male,Main workers,486462,2011
district,113,Urban,Male,Main workers,316866,2011
district,114,Rural,Male,Main workers,112848,2011
district,114,Urban,Male,Main workers,24909,2011
district,115,Rural,Male,Main workers,480080,2011
district,115,Urban,Male,Main workers,46375,2011
district,116,Rural,Male,Main workers,391398,2011
district,116,Urban,Male,Main workers,36466,2011
district,117,Rural,Male,Main workers,186965,2011
district,117,Urban,Male,Main workers,52600,2011
district,118,Rural,Male,Main workers,328643,2011
district,118,Urban,Male,Main workers,115071,2011
district,119,Rural,Male,Main workers,340913,2011
district,119,Urban,Male,Main workers,260651,2011
district,120,Rural,Male,Main workers,246870,2011
district,120,Urban,Male,Main workers,71406,2011
district,121,Rural,Male,Main workers,206247,2011
district,121,Urban,Male,Main workers,52953,2011
district,122,Rural,Male,Main workers,448804,2011
district,122,Urban,Male,Main workers,132235,2011
district,123,Rural,Male,Main workers,211611,2011
district,123,Urban,Male,Main workers,46319,2011
district,124,Rural,Male,Main workers,151424,2011
district,124,Urban,Male,Main workers,19496,2011
district,125,Rural,Male,Main workers,330866,2011
district,125,Urban,Male,Main workers,30328,2011
district,126,Rural,Male,Main workers,336356,2011
district,126,Urban,Male,Main workers,72978,2011
district,127,Rural,Male,Main workers,175201,2011
district,127,Urban,Male,Main workers,292164,2011
district,128,Rural,Male,Main workers,205041,2011
district,128,Urban,Male,Main workers,57516,2011
district,129,Rural,Male,Main workers,283456,2011
district,129,Urban,Male,Main workers,54865,2011
district,130,Rural,Male,Main workers,463211,2011
district,130,Urban,Male,Main workers,160186,2011
district,131,Rural,Male,Main workers,185554,2011
district,131,Urban,Male,Main workers,18597,2011
district,132,Rural,Male,Main workers,550895,2011
district,132,Urban,Male,Main workers,250694,2011
district,133,Rural,Male,Main workers,680350,2011
district,133,Urban,Male,Main workers,281863,2011
district,134,Rural,Male,Main workers,554375,2011
district,134,Urban,Male,Main workers,195354,2011
district,135,Rural,Male,Main workers,638781,2011
district,135,Urban,Male,Main workers,350168,2011
district,136,Rural,Male,Main workers,360953,2011
district,136,Urban,Male,Main workers,141171,2011
district,137,Rural,Male,Main workers,288467,2011
district,137,Urban,Male,Main workers,98104,2011
district,138,Rural,Male,Main workers,369254,2011
district,138,Urban,Male,Main workers,405799,2011
district,139,Rural,Male,Main workers,230661,2011
district,139,Urban,Male,Main workers,61996,2011
district,140,Rural,Male,Main workers,326150,2011
district,140,Urban,Male,Main workers,744879,2011
district,141,Rural,Male,Main workers,129770,2011
district,141,Urban,Male,Main workers,248105,2011
district,142,Rural,Male,Main workers,553938,2011
district,142,Urban,Male,Main workers,194354,2011
district,143,Rural,Male,Main workers,491875,2011
district,143,Urban,Male,Main workers,255616,2011
district,144,Rural,Male,Main workers,232694,2011
district,144,Urban,Male,Main workers,66739,2011
district,145,Rural,Male,Main workers,345877,2011
district,145,Urban,Male,Main workers,160440,2011
district,146,Rural,Male,Main workers,478783,2011
district,146,Urban,Male,Main workers,433838,2011
district,147,Rural,Male,Main workers,324187,2011
district,147,Urban,Male,Main workers,173060,2011
district,148,Rural,Male,Main workers,328116,2011
district,148,Urban,Male,Main workers,55176,2011
district,149,Rural,Male,Main workers,660607,2011
district,149,Urban,Male,Main workers,134463,2011
district,150,Rural,Male,Main workers,576347,2011
district,150,Urban,Male,Main workers,334265,2011
district,151,Rural,Male,Main workers,348750,2011
district,151,Urban,Male,Main workers,73370,2011
district,152,Rural,Male,Main workers,515060,2011
district,152,Urban,Male,Main workers,125660,2011
district,153,Rural,Male,Main workers,758812,2011
district,153,Urban,Male,Main workers,96685,2011
district,154,Rural,Male,Main workers,793537,2011
district,154,Urban,Male,Main workers,106592,2011
district,155,Rural,Male,Main workers,752500,2011
district,155,Urban,Male,Main workers,113641,2011
district,156,Rural,Male,Main workers,536035,2011
district,156,Urban,Male,Main workers,109162,2011
district,157,Rural,Male,Main workers,281170,2011
district,157,Urban,Male,Main workers,688404,2011
district,158,Rural,Male,Main workers,459695,2011
district,158,Urban,Male,Main workers,61288,2011
district,159,Rural,Male,Main workers,331534,2011
district,159,Urban,Male,Main workers,92693,2011
district,160,Rural,Male,Main workers,306348,2011
district,160,Urban,Male,Main workers,59733,2011
district,161,Rural,Male,Main workers,248424,2011
district,161,Urban,Male,Main workers,73447,2011
district,162,Rural,Male,Main workers,243504,2011
district,162,Urban,Male,Main workers,48223,2011
district,163,Rural,Male,Main workers,348249,2011
district,163,Urban,Male,Main workers,37718,2011
district,164,Rural,Male,Main workers,352104,2011
district,164,Urban,Male,Main workers,715050,2011
district,165,Rural,Male,Main workers,275495,2011
district,165,Urban,Male,Main workers,84548,2011
district,166,Rural,Male,Main workers,260649,2011
district,166,Urban,Male,Main workers,182996,2011
district,167,Rural,Male,Main workers,240999,2011
district,167,Urban,Male,Main workers,37500,2011
district,168,Rural,Male,Main workers,189723,2011
district,168,Urban,Male,Main workers,43335,2011
district,169,Rural,Male,Main workers,147487,2011
district,169,Urban,Male,Main workers,37350,2011
district,170,Rural,Male,Main workers,324923,2011
district,170,Urban,Male,Main workers,59473,2011
district,171,Rural,Male,Main workers,188549,2011
district,171,Urban,Male,Main workers,20347,2011
district,172,Rural,Male,Main workers,455639,2011
district,172,Urban,Male,Main workers,65794,2011
district,173,Rural,Male,Main workers,389344,2011
district,173,Urban,Male,Main workers,30564,2011
district,174,Rural,Male,Main workers,268545,2011
district,174,Urban,Male,Main workers,23917,2011
district,175,Rural,Male,Main workers,691121,2011
district,175,Urban,Male,Main workers,290012,2011
district,176,Rural,Male,Main workers,608862,2011
district,176,Urban,Male,Main workers,69061,2011
district,177,Rural,Male,Main workers,335020,2011
district,177,Urban,Male,Main workers,69259,2011
district,178,Rural,Male,Main workers,297112,2011
district,178,Urban,Male,Main workers,52325,2011
district,179,Rural,Male,Main workers,508201,2011
district,179,Urban,Male,Main workers,40114,2011
district,180,Rural,Male,Main workers,584683,2011
district,180,Urban,Male,Main workers,55465,2011
district,181,Rural,Male,Main workers,186383,2011
district,181,Urban,Male,Main workers,6398,2011
district,182,Rural,Male,Main workers,337728,2011
district,182,Urban,Male,Main workers,30201,2011
district,183,Rural,Male,Main workers,558769,2011
district,183,Urban,Male,Main workers,45435,2011
district,184,Rural,Male,Main workers,322682,2011
district,184,Urban,Male,Main workers,24929,2011
district,185,Rural,Male,Main workers,336427,2011
district,185,Urban,Male,Main workers,24370,2011
district,186,Rural,Male,Main workers,197105,2011
district,186,Urban,Male,Main workers,21829,2011
district,187,Rural,Male,Main workers,318292,2011
district,187,Urban,Male,Main workers,24827,2011
district,188,Rural,Male,Main workers,455967,2011
district,188,Urban,Male,Main workers,160274,2011
district,189,Rural,Male,Main workers,394950,2011
district,189,Urban,Male,Main workers,27870,2011
district,190,Rural,Male,Main workers,320098,2011
district,190,Urban,Male,Main workers,55471,2011
district,191,Rural,Male,Main workers,541151,2011
district,191,Urban,Male,Main workers,69864,2011
district,192,Rural,Male,Main workers,206817,2011
district,192,Urban,Male,Main workers,94189,2011
district,193,Rural,Male,Main workers,392863,2011
district,193,Urban,Male,Main workers,52530,2011
district,194,Rural,Male,Main workers,598990,2011
district,194,Urban,Male,Main workers,65619,2011
district,195,Rural,Male,Main workers,529055,2011
district,195,Urban,Male,Main workers,52070,2011
district,196,Rural,Male,Main workers,232594,2011
district,196,Urban,Male,Main workers,40682,2011
district,197,Rural,Male,Main workers,380640,2011
district,197,Urban,Male,Main workers,370188,2011
district,198,Rural,Male,Main workers,192251,2011
district,198,Urban,Male,Main workers,45217,2011
district,199,Rural,Male,Main workers,352823,2011
district,199,Urban,Male,Main workers,67856,2011
district,200,Rural,Male,Main workers,226013,2011
district,200,Urban,Male,Main workers,67504,2011
district,201,Rural,Male,Main workers,309686,2011
district,201,Urban,Male,Main workers,52685,2011
district,202,Rural,Male,Main workers,256909,2011
district,202,Urban,Male,Main workers,58134,2011
district,203,Rural,Male,Main workers,553533,2011
district,203,Urban,Male,Main workers,73756,2011
district,204,Rural,Male,Main workers,843567,2011
district,204,Urban,Male,Main workers,79901,2011
district,205,Rural,Male,Main workers,110657,2011
district,205,Urban,Male,Main workers,5507,2011
district,206,Rural,Male,Main workers,604619,2011
district,206,Urban,Male,Main workers,40850,2011
district,207,Rural,Male,Main workers,787887,2011
district,207,Urban,Male,Main workers,31738,2011
district,208,Rural,Male,Main workers,336297,2011
district,208,Urban,Male,Main workers,19950,2011
district,209,Rural,Male,Main workers,501108,2011
district,209,Urban,Male,Main workers,36043,2011
district,210,Rural,Male,Main workers,298650,2011
district,210,Urban,Male,Main workers,35850,2011
district,211,Rural,Male,Main workers,533397,2011
district,211,Urban,Male,Main workers,67322,2011
district,212,Rural,Male,Main workers,500201,2011
district,212,Urban,Male,Main workers,55430,2011
district,213,Rural,Male,Main workers,317193,2011
district,213,Urban,Male,Main workers,17864,2011
district,214,Rural,Male,Main workers,268345,2011
district,214,Urban,Male,Main workers,28589,2011
district,215,Rural,Male,Main workers,545581,2011
district,215,Urban,Male,Main workers,73688,2011
district,216,Rural,Male,Main workers,663409,2011
district,216,Urban,Male,Main workers,94718,2011
district,217,Rural,Male,Main workers,273395,2011
district,217,Urban,Male,Main workers,26941,2011
district,218,Rural,Male,Main workers,368215,2011
district,218,Urban,Male,Main workers,33420,2011
district,219,Rural,Male,Main workers,416175,2011
district,219,Urban,Male,Main workers,60204,2011
district,220,Rural,Male,Main workers,575304,2011
district,220,Urban,Male,Main workers,47629,2011
district,221,Rural,Male,Main workers,740816,2011
district,221,Urban,Male,Main workers,30777,2011
district,222,Rural,Male,Main workers,387930,2011
district,222,Urban,Male,Main workers,103136,2011
district,223,Rural,Male,Main workers,235059,2011
district,223,Urban,Male,Main workers,17118,2011
district,224,Rural,Male,Main workers,331904,2011
district,224,Urban,Male,Main workers,119684,2011
district,225,Rural,Male,Main workers,281187,2011
district,225,Urban,Male,Main workers,14149,2011
district,226,Rural,Male,Main workers,131347,2011
district,226,Urban,Male,Main workers,67602,2011
district,227,Rural,Male,Main workers,136654,2011
district,227,Urban,Male,Main workers,26532,2011
district,228,Rural,Male,Main workers,90563,2011
district,228,Urban,Male,Main workers,19342,2011
district,229,Rural,Male,Main workers,456040,2011
district,229,Urban,Male,Main workers,89875,2011
district,230,Rural,Male,Main workers,600695,2011
district,230,Urban,Male,Main workers,520696,2011
district,231,Rural,Male,Main workers,364517,2011
district,231,Urban,Male,Main workers,70149,2011
district,232,Rural,Male,Main workers,246323,2011
district,232,Urban,Male,Main workers,32229,2011
district,233,Rural,Male,Main workers,223955,2011
district,233,Urban,Male,Main workers,11289,2011
district,234,Rural,Male,Main workers,386394,2011
district,234,Urban,Male,Main workers,79179,2011
district,235,Rural,Male,Main workers,341302,2011
district,235,Urban,Male,Main workers,40976,2011
district,236,Rural,Male,Main workers,625378,2011
district,236,Urban,Male,Main workers,109087,2011
district,237,Rural,Male,Main workers,335533,2011
district,237,Urban,Male,Main workers,40433,2011
district,238,Rural,Male,Main workers,281445,2011
district,238,Urban,Male,Main workers,26823,2011
district,239,Rural,Male,Main workers,176235,2011
district,239,Urban,Male,Main workers,24643,2011
district,240,Rural,Male,Main workers,117270,2011
district,240,Urban,Male,Main workers,9491,2011
district,241,Rural,Male,Main workers,11474,2011
district,241,Urban,Male,Main workers,1203,2011
district,242,Rural,Male,Main workers,31904,2011
district,242,Urban,Male,Main workers,1350,2011
district,243,Rural,Male,Main workers,29911,2011
district,243,Urban,Male,Main workers,5360,2011
district,244,Rural,Male,Main workers,45725,2011
district,244,Urban,Male,Main workers,33586,2011
district,245,Rural,Male,Main workers,10734,2011
district,245,Urban,Male,Main workers,7135,2011
district,246,Rural,Male,Main workers,20447,2011
district,246,Urban,Male,Main workers,4193,2011
district,247,Rural,Male,Main workers,10922,2011
district,247,Urban,Male,Main workers,3438,2011
district,248,Rural,Male,Main workers,14437,2011
district,248,Urban,Male,Main workers,19711,2011
district,249,Rural,Male,Main workers,11888,2011
district,249,Urban,Male,Main workers,2637,2011
district,250,Rural,Male,Main workers,19615,2011
district,250,Urban,Male,Main workers,6430,2011
district,251,Rural,Male,Main workers,14576,2011
district,251,Urban,Male,Main workers,5733,2011
district,252,Rural,Male,Main workers,7083,2011
district,252,Urban,Male,Main workers,1438,2011
district,253,Rural,Male,Main workers,28993,2011
district,253,Urban,Male,Main workers,5774,2011
district,254,Rural,Male,Main workers,19204,2011
district,254,Urban,Male,Main workers,5535,2011
district,255,Rural,Male,Main workers,11034,2011
district,255,Urban,Male,Main workers,2856,2011
district,256,Rural,Male,Main workers,11826,2011
district,256,Urban,Male,Main workers,406,2011
district,257,Rural,Male,Main workers,1151,2011
district,257,Urban,Male,Main workers,491,2011
district,258,Rural,Male,Main workers,10035,2011
district,258,Urban,Male,Main workers,3016,2011
district,259,Rural,Male,Main workers,26677,2011
district,259,Urban,Male,Main workers,7979,2011
district,260,Rural,Male,Main workers,5307,2011
district,260,Urban,Male,Main workers,408,2011
district,261,Rural,Male,Main workers,52712,2011
district,261,Urban,Male,Main workers,5983,2011
district,262,Rural,Male,Main workers,35126,2011
district,262,Urban,Male,Main workers,13229,2011
district,263,Rural,Male,Main workers,22531,2011
district,263,Urban,Male,Main workers,5345,2011
district,264,Rural,Male,Main workers,28836,2011
district,264,Urban,Male,Main workers,6856,2011
district,265,Rural,Male,Main workers,39184,2011
district,265,Urban,Male,Main workers,48871,2011
district,266,Rural,Male,Main workers,28819,2011
district,266,Urban,Male,Main workers,5563,2011
district,267,Rural,Male,Main workers,34590,2011
district,267,Urban,Male,Main workers,6830,2011
district,268,Rural,Male,Main workers,10129,2011
district,268,Urban,Male,Main workers,1418,2011
district,269,Rural,Male,Main workers,11697,2011
district,269,Urban,Male,Main workers,2484,2011
district,270,Rural,Male,Main workers,34138,2011
district,270,Urban,Male,Main workers,26701,2011
district,271,Rural,Male,Main workers,18622,2011
district,271,Urban,Male,Main workers,2540,2011
district,272,Rural,Male,Main workers,100680,2011
district,272,Urban,Male,Main workers,1244,2011
district,273,Rural,Male,Main workers,27242,2011
district,273,Urban,Male,Main workers,3302,2011
district,274,Rural,Male,Main workers,53764,2011
district,274,Urban,Male,Main workers,3794,2011
district,275,Rural,Male,Main workers,34131,2011
district,275,Urban,Male,Main workers,19027,2011
district,276,Rural,Male,Main workers,57815,2011
district,276,Urban,Male,Main workers,32484,2011
district,277,Rural,Male,Main workers,44090,2011
district,277,Urban,Male,Main workers,66350,2011
district,278,Rural,Male,Main workers,62277,2011
district,278,Urban,Male,Main workers,37737,2011
district,279,Rural,Male,Main workers,32499,2011
district,279,Urban,Male,Main workers,4837,2011
district,280,Rural,Male,Main workers,29984,2011
district,280,Urban,Male,Main workers,3878,2011
district,281,Rural,Male,Main workers,19303,2011
district,281,Urban,Male,Main workers,3923,2011
