,STATE NAME,DISTRICT NAME,POPULATION,MALES,FEMALES,GROWTH  1991   2001,RURAL,URBAN,SCHEDULED CASTE POPULATION,PERCENTAGE   SC TO TOTAL,NUMBER OF HOUSEHOLDS,HOUSEHOLD SIZE  PER HOUSEHOLD,SEX RATIO  FEMALES PER 1000 MALES,SEX RATIO  0 6 YEARS,SCHEDULED TRIBE POPULATION,PERCENTAGE TO TOTAL POPULATION  ST,PERSONS  LITERATE,MALES  LITERATE,FEMALES  LITERATE,PERSONS  LITERACY RATE,MALES  LITERATACY RATE,FEMALES  LITERACY RATE,TOTAL EDUCATED,DATA WITHOUT LEVEL,BELOW PRIMARY,PRIMARY,MIDDLE,MATRIC HIGHER SECONDARY DIPLOMA,GRADUATE AND ABOVE,X0   4 YEARS,X5   14 YEARS,X15   59 YEARS,X60 YEARS AND ABOVE  INCL  A N S,TOTAL WORKERS,MAIN WORKERS,MARGINAL WORKERS,NON WORKERS,SC 1 NAME,SC 1 POPULATION,SC 2 NAME,SC 2 POPULATION,SC 3 NAME,SC 3 POPULATION,RELIGEON 1 NAME,RELIGEON 1 POPULATION,RELIGEON 2 NAME,RELIGEON 2 POPULATION,RELIGEON 3 NAME,RELIGEON 3 POPULATION,ST 1 NAME,ST 1 POPULATION,ST 2 NAME,ST 2 POPULATION,ST 3 NAME,ST 3 POPULATION,IMP TOWN 1 NAME,IMP TOWN 1 POPULATION,IMP TOWN 2 NAME,IMP TOWN 2 POPULATION,IMP TOWN 3 NAME,IMP TOWN 3 POPULATION,TOTAL INHABITED VILLAGES,DRINKING WATER FACILITIES,SAFE DRINKING WATER,ELECTRICITY  POWER SUPPLY,ELECTRICITY  DOMESTIC,ELECTRICITY  AGRICULTURE,PRIMARY SCHOOL,MIDDLE SCHOOLS,SECONDARY SR SECONDARY SCHOOLS,COLLEGE,MEDICAL FACILITY,PRIMARY HEALTH CENTRE,PRIMARY HEALTH SUB CENTRE,POST  TELEGRAPH AND TELEPHONE FACILITY,BUS SERVICES,PAVED APPROACH ROAD,MUD APPROACH ROAD,PERMANENT HOUSE,SEMI PERMANENT HOUSE,TEMPORARY HOUSE,YEAR
13,ANDHRA PRADESH,VIZIANAGARAM,2249254,1119541,1129713,6.36,1836859.0,NA,NA,NA,514912.0,4.0,1009.0,979.0,214839,9.55,997482,605038,392444,51.07,62.37,39.91,997482.0,41776.0,256539.0,345163.0,107395.0,191992.0,54462.0,198760.0,502372.0,1378957.0,169165.0,1174164,912375,261789,1075090,1.Mala,126530.0,2.Madiga,51983.0,3.Relli,25403.0,1.Hindus,2214541,2.Christians,15495,3.Muslims,15472,1.Jatapus,93519,2.Konda Dhoras,51517,3.Savaras etc.,29005,1.Vizianagaram (M),174651.0,2.Bobbili (M),50096.0,3.Parvathipuram (M),49714.0,1455.0,1453.0,1374.0,1455.0,NA,NA,1371.0,352,194,NA,649,56,427,903.0,732,822,433,49.9,5.2,45.0,2001
14,ANDHRA PRADESH,VISAKHAPATNAM,3832336,1930197,1902139,15.36,2301437.0,NA,NA,NA,887003.0,4.0,985.0,976.0,557572,14.55,2002316,1171082,831234,59.96,69.68,50.12,2002316.0,75488.0,417446.0,577938.0,211419.0,535115.0,184767.0,324433.0,850611.0,2411639.0,245653.0,1602761,1305584,297177,2229575,1.Mala,169650.0,2.Madiga,65244.0,3.Relli,41791.0,1.Hindus,3688280,2.Muslims,71669,3.Christians,62227,1.Konda Dhoras,134109,2.Bagata,130301,3.Kondhs etc.,81755,1.Visakhapatnam (M Corp.),982904.0,2.Gajuwaka (M),259180.0,3.Anakapalle (M),85486.0,3108.0,3091.0,1746.0,3098.0,NA,NA,2293.0,423,241,NA,1647,486,323,715.0,858,1129,1056,58.8,11.1,30.2,2001
15,ANDHRA PRADESH,WEST GODAVARI,3803517,1910038,1893479,7.92,3052630.0,NA,NA,NA,947276.0,4.0,991.0,969.0,96659,2.54,2458822,1308598,1150224,73.53,78.05,68.99,2458822.0,76849.0,715101.0,867078.0,239220.0,438313.0,122202.0,310484.0,829811.0,2358503.0,304719.0,1678335,1425708,252627,2125182,1.Mala,416361.0,2.Madiga,259811.0,3.Adi Andhra,35768.0,1.Hindus,3580207,2.Christians,138363,3.Muslims,79048,1.Koya etc.,49528,2.Yerukulas,18152,3.Sugalis etc.,7223,1.Eluru (M),190062.0,2.Bhimavaram (M),137409.0,3.Tadepalligudem (M),102622.0,845.0,844.0,843.0,845.0,NA,NA,805.0,425,311,NA,576,66,462,750.0,751,720,119,54.0,11.3,34.7,2001
16,ANDHRA PRADESH,KRISHNA,4187841,2117401,2070440,14.05,2844394.0,NA,NA,NA,1011891.0,4.0,978.0,963.0,107611,2.57,2539974,1386261,1153713,68.85,74.39,63.19,2539974.0,76918.0,603868.0,807042.0,269230.0,605480.0,177102.0,333263.0,903289.0,2618300.0,332989.0,1841597,1575433,266164,2346244,1.Madiga,387577.0,2.Mala,340811.0,3.Relli,7386.0,1.Hindus,3729204,2.Muslims,265617,3.Christians,182614,1.Sugalis etc.,53232,2.Yerukulas,32445,3.Yenadis,15225,1.Vijayawada (M Corp.),851282.0,2.Machilipatnam (M),179353.0,3.Gudivada (M),113054.0,948.0,948.0,944.0,948.0,NA,NA,931.0,482,281,NA,642,64,427,838.0,870,832,111,50.8,11.5,37.7,2001
17,ANDHRA PRADESH,GUNTUR,4465144,2250279,2214865,7.27,3179384.0,NA,NA,NA,1077303.0,4.0,984.0,959.0,208157,4.66,2455965,1407402,1048563,62.54,71.24,53.74,2455965.0,94688.0,579683.0,804976.0,241137.0,559524.0,175832.0,357400.0,954636.0,2756023.0,397085.0,2190299,1869886,320413,2274845,1.Madiga,403908.0,2.Mala,399100.0,3.Mala Dasu,5004.0,1.Hindus,3834204,2.Muslims,487839,3.Christians,131713,1.Sugalis etc.,76825,2.Yerukulas,68349,3.Yenadis,51088,1.Guntur (M Corp.),514461.0,2.Tenali (M),153756.0,3.Narasaraopet (M),93321.0,694.0,694.0,693.0,694.0,NA,NA,690.0,423,337,NA,584,71,475,664.0,666,628,66,53.4,15.2,31.4,2001
18,ANDHRA PRADESH,PRAKASAM,3059423,1552332,1507091,10.72,2592055.0,NA,NA,NA,702559.0,4.0,971.0,954.0,118241,3.86,1532126,938482,593644,57.38,69.35,45.08,1532126.0,49645.0,391396.0,512915.0,143921.0,341687.0,92527.0,259093.0,689994.0,1833665.0,276671.0,1537544,1306772,230772,1521879,1.Madiga,343177.0,2.Mala,298782.0,3.Adi Andhra,4632.0,1.Hindus,2825681,2.Muslims,195637,3.Christians,32674,1.Yenadis,61011,2.Yerukulas,29042,3.Sugalis etc.,16290,1.Ongole (M),150471.0,2.Chirala (M),84970.0,3.Markapur (M),58462.0,992.0,992.0,991.0,992.0,NA,NA,941.0,417,318,NA,540,74,410,759.0,879,909,76,59.8,16.4,23.8,2001
19,ANDHRA PRADESH,NELLORE,2668564,1344935,1323629,11.18,2069521.0,NA,NA,NA,640942.0,4.0,984.0,954.0,242257,9.08,1522866,866975,655891,65.08,73.67,56.38,1522866.0,73132.0,375380.0,515113.0,149694.0,316461.0,93056.0,223622.0,562645.0,1663646.0,218651.0,1211702,985312,226390,1456862,1.Mala,373253.0,2.Madiga,167434.0,3.Arundhatiya,31042.0,1.Hindus,2382701,2.Muslims,248676,3.Christians,31593,1.Yenadis,213187,2.Yerukulas,24289,3.Generic Tribes etc.,3253,1.Nellore (M),378428.0,2.Kavali (M),79682.0,3.Gudur (M),68782.0,1110.0,1110.0,1099.0,1110.0,NA,NA,1053.0,397,266,NA,520,65,457,842.0,981,1102,6,57.3,10.5,32.2,2001
20,ANDHRA PRADESH,CUDDAPAH,2601797,1318093,1283704,13.48,2014044.0,NA,NA,NA,585987.0,4.0,974.0,950.0,61371,2.36,1420752,867054,553698,62.83,75.83,49.54,1420752.0,61409.0,315821.0,482912.0,145747.0,323102.0,91650.0,225438.0,586524.0,1579759.0,210076.0,1165566,931847,233719,1436231,1.Mala,212639.0,2.Madiga,186070.0,3.Adi Andhra,7475.0,1.Hindus,2181572,2.Muslims,386900,3.Christians,28978,1.Yenadis,23570,2.Yerukulas,18399,3.Sugalis etc.,18257,1.Proddatur (M),150309.0,2.Cuddapah (M),126505.0,3.Rayachoti (CT),72297.0,876.0,875.0,873.0,875.0,NA,NA,853.0,342,245,NA,432,74,249,671.0,773,712,158,50.1,28.6,21.2,2001
21,ANDHRA PRADESH,KURNOOL,3529494,1796214,1733280,18.14,2712030.0,NA,NA,NA,699191.0,5.0,965.0,958.0,69635,1.97,1592172,1003659,588513,53.22,65.96,40.03,1592172.0,64483.0,396608.0,526192.0,139903.0,363649.0,101204.0,343493.0,936793.0,2015569.0,233639.0,1745220,1500598,244622,1784274,1.Madiga,404992.0,2.Mala,210457.0,3.Mala Dasari,4114.0,1.Hindus,2910182,2.Muslims,572404,3.Christians,40581,1.Sugalis etc.,30235,2.Yerukulas,28666,3.Chenchu etc.,7282,1.Kurnool (M Corp.),269122.0,2.Adoni (M),157305.0,3.Nandyal (M),152676.0,884.0,884.0,884.0,884.0,NA,NA,877.0,398,224,NA,634,80,395,798.0,782,705,179,32.0,51.8,16.2,2001
22,ANDHRA PRADESH,ANANTAPUR,3640478,1859588,1780890,14.31,2720915.0,NA,NA,NA,779052.0,5.0,958.0,958.0,127161,3.49,1774088,1104042,670046,56.13,68.38,43.34,1774088.0,46809.0,398372.0,667978.0,177709.0,380349.0,102827.0,311720.0,878170.0,2175541.0,275047.0,1777536,1471218,306318,1862942,1.Madiga,435746.0,2.Mala,64747.0,3.Generic Castes etc.,8038.0,1.Hindus,3225156,2.Muslims,389201,3.Christians,20770,1.Sugalis etc.,87727,2.Yerukulas,36279,3.Yenadis,1133,1.Anantapur (M),218808.0,2.Hindupur (M),125074.0,3.Guntakal (M),117103.0,925.0,925.0,925.0,925.0,NA,NA,900.0,406,291,NA,595,72,452,807.0,852,767,155,55.2,30.7,13.8,2001
23,ANDHRA PRADESH,CHITTOOR,3745875,1889690,1856185,14.54,2934845.0,NA,NA,NA,848607.0,4.0,982.0,954.0,128085,3.42,2176990,1273940,903050,66.77,77.62,55.78,2176990.0,78776.0,484531.0,769687.0,240584.0,466832.0,136183.0,334295.0,791554.0,2287032.0,332994.0,1752979,1462690,290289,1992896,1.Mala,329648.0,2.Adi Dravida,192121.0,3.Madiga,144520.0,1.Hindus,3368878,2.Muslims,342965,3.Christians,28337,1.Yenadis,81773,2.Yerukulas,23161,3.Sugalis etc.,22274,1.Tirupati (M),228202.0,2.Chittoor (M),152654.0,3.Madanapalle (M),99967.0,1480.0,1479.0,1478.0,1480.0,NA,NA,1365.0,597,346,NA,683,90,545,1101.0,1222,1096,378,58.6,8.1,33.3,2001
24,ARUNACHAL PRADESH,TAWANG,38924,21846,17078,22.69,30548.0,8376.0,NA,NA,8294.0,5.0,782.0,948.0,29191,74.99,15337,11160,4177,47.32,60.32,30.04,15337.0,496.0,3835.0,3146.0,2535.0,4535.0,785.0,4416.0,9106.0,22814.0,2588.0,21727,18134,3593,17197,1.Generic Castes etc.,58.0,2.Muchi etc.,31.0,3.Kaibartta etc.,12.0,1.Buddhists,29083,2.Hindus,8440,3.Sikhs,420,1.Monpa,21247,2.Tawang Monpa,7162,3.Adi,150,1.Tawang (CT),8376.0,NA,NA,NA,NA,180.0,180.0,159.0,173.0,172,1,63.0,13,2,NA,23,9,NA,54.0,59,57,52,51.1,36.8,12.1,2001
25,ARUNACHAL PRADESH,WEST KAMENG,74599,42542,32057,32.21,67906.0,6693.0,NA,NA,15637.0,5.0,754.0,955.0,36951,49.53,37687,25386,12301,60.76,70.29,47.46,37687.0,833.0,10517.0,8778.0,5725.0,9725.0,2108.0,8570.0,18755.0,44149.0,3125.0,34362,28850,5512,40237,1.Bansphor,75.0,2.Generic Castes etc.,63.0,3.Dhupi etc.,54.0,1.Buddhists,33104,2.Hindus,32125,3.Others,4750,1.Monpa,19596,2.Miji,4354,3.Aka,3879,1.Bomdila (CT),6693.0,NA,NA,NA,NA,213.0,213.0,211.0,168.0,168,NA,97.0,22,11,NA,47,7,7,15.0,41,43,72,32.7,33.8,33.4,2001
26,ARUNACHAL PRADESH,EAST KAMENG,57179,28802,28377,13.24,42177.0,15002.0,NA,NA,12018.0,5.0,985.0,1035.0,49585,86.72,18338,11978,6360,40.64,52.36,28.59,18338.0,290.0,6995.0,4524.0,2962.0,2783.0,783.0,8003.0,16633.0,30280.0,2263.0,25949,23543,2406,31230,1.Namasudra,55.0,2.Muchi etc.,13.0,3.Bansphor,10.0,1.Others,31538,2.Christians,14550,3.Hindus,9943,1.Dafla,16644,2.Nissi,15186,3.Bangni,7299,1.Seppa (CT),15002.0,NA,NA,NA,NA,310.0,309.0,284.0,44.0,43,NA,128.0,34,6,NA,89,6,5,11.0,40,137,4,10.7,26.0,63.4,2001
27,ARUNACHAL PRADESH,PAPUM PARE,122003,64184,57819,67.21,59961.0,62042.0,NA,NA,24636.0,5.0,901.0,977.0,69007,56.56,69982,41367,28615,69.32,77.27,60.35,69982.0,1189.0,15664.0,15056.0,11464.0,19892.0,6715.0,14134.0,34120.0,70794.0,2955.0,44132,38401,5731,77871,1.Namasudra,672.0,2.Dhupi etc.,171.0,3.Kaibartta etc.,123.0,1.Hindus,51026,2.Christians,36574,3.Others,25395,1.Nissi,25175,2.Dafla,18192,3.Apatani,6318,1.Itanagar (CT),35022.0,2.Naharlagun (CT),27020.0,NA,NA,267.0,267.0,215.0,60.0,48,12,69.0,25,8,1,17,3,9,11.0,21,103,87,41.1,31.6,27.3,2001
28,ARUNACHAL PRADESH,LOWER SUBANSIRI,98244,49542,48702,17.37,85860.0,12384.0,NA,NA,19456.0,5.0,983.0,1004.0,88512,90.09,35933,21647,14286,44.79,53.37,36.01,35933.0,1292.0,10147.0,9338.0,6443.0,7104.0,1605.0,11707.0,28668.0,53748.0,4121.0,45405,37473,7932,52839,1.Kaibartta etc.,48.0,2.Generic Castes etc.,47.0,3.Dhupi etc.,27.0,1.Others,62481,2.Christians,24078,3.Hindus,10493,1.Nissi,42282,2.Apatani,18233,3.Nishang,11989,1.Ziro (CT),12384.0,NA,NA,NA,NA,652.0,652.0,383.0,175.0,169,NA,147.0,75,22,NA,74,16,38,15.0,57,146,219,15.6,21.1,63.3,2001
29,ARUNACHAL PRADESH,UPPER SUBANSIRI,55346,28240,27106,9.8,39590.0,15756.0,NA,NA,10862.0,5.0,960.0,984.0,49552,89.53,22379,13547,8832,50.35,59.55,40.7,22379.0,236.0,7953.0,6037.0,3525.0,3732.0,896.0,7344.0,16233.0,29443.0,2326.0,22415,21067,1348,32931,1.Brittial-Bania etc.,43.0,2.Mehtar etc.,14.0,3.Kaibartta etc.,11.0,1.Others,45318,2.Hindus,5572,3.Christians,3240,1.Tagin,36459,2.Galong,6490,3.Nissi,3889,1.Daporijo (CT),15756.0,NA,NA,NA,NA,398.0,398.0,252.0,77.0,77,NA,141.0,33,10,NA,26,2,17,9.0,58,55,153,11.1,8.1,80.4,2001
